Season,Race,Percent,Count
2018-2019,White,57.50%,96
2018-2019,African-American,37.10%,62
2018-2019,Latino,3.00%,5
2018-2019,Asian,0.60%,1
2018-2019,Other,1.80%,3
2018-2019,POC,42.50%,71
2018-2019,Women,1.80%,3
2018-2019,Total,,167
2017-2018,White,54.30%,94
2017-2018,African-American,40.50%,70
2017-2018,Latino,2.90%,5
2017-2018,Asian,1.20%,2
2017-2018,Other,1.20%,2
2017-2018,POC,45.70%,79
2017-2018,Women,1.20%,2
2017-2018,Total,,173
2016-2017,White,54.60%,89
2016-2017,African-American,41.70%,68
2016-2017,Latino,3.10%,5
2016-2017,Asian,0.60%,1
2016-2017,Other,0.00%,0
2016-2017,POC,45.40%,74
2016-2017,Women,1.20%,2
2016-2017,Total,,163
2015-2016,White,55.70%,83
2015-2016,African-American,43.00%,64
2015-2016,Latino,0.70%,1
2015-2016,Asian,0.70%,1
2015-2016,Other,0.00%,0
2015-2016,POC,44.30%,66
2015-2016,Women,1.30%,2
2015-2016,Total,,149
2014-2015,White,59.20%,109
2014-2015,African-American,39.70%,73
2014-2015,Latino,1.10%,2
2014-2015,Asian,0.00%,0
2014-2015,Other,0.00%,0
2014-2015,POC,40.80%,75
2014-2015,Women,0.50%,1
2014-2015,Total,,184
2013-2014,White,53.30%,80
2013-2014,African-American,46.00%,69
2013-2014,Latino,0.70%,1
2013-2014,Asian,0.00%,0
2013-2014,Other,0.00%,0
2013-2014,POC,46.70%,70
2013-2014,Women,0.00%,0
2013-2014,Total,,150
2012-2013,White,54.40%,80
2012-2013,African-American,43.50%,64
2012-2013,Latino,0.70%,1
2012-2013,Asian,0.70%,1
2012-2013,Other,0.70%,1
2012-2013,POC,45.60%,67
2012-2013,Women,0.00%,0
2012-2013,Total,,147
2011-2012,White,56.50%,83
2011-2012,African-American,41.50%,61
2011-2012,Latino,0.70%,1
2011-2012,Asian,0.70%,1
2011-2012,Other,0.70%,1
2011-2012,POC,43.50%,64
2011-2012,Women,0.00%,0
2011-2012,Total,,147
2010-2011,White,55.80%,87
2010-2011,African-American,42.30%,66
2010-2011,Latino,0.60%,1
2010-2011,Asian,0.60%,1
2010-2011,Other,0.60%,1
2010-2011,POC,44.20%,69
2010-2011,Women,0.00%,0
2010-2011,Total,,156
2009-2010,White,58.60%,92
2009-2010,African-American,40.80%,64
2009-2010,Latino,0.60%,1
2009-2010,Asian,0.00%,0
2009-2010,Other,0.00%,0
2009-2010,POC,41.40%,65
2009-2010,Women,0.00%,0
2009-2010,Total,,157
2008-2009,White,58.50%,93
2008-2009,African-American,40.90%,65
2008-2009,Latino,0.60%,1
2008-2009,Asian,0.00%,0
2008-2009,Other,0.00%,0
2008-2009,POC,41.50%,66
2008-2009,Women,0.00%,0
2008-2009,Total,,159
2007-2008,White,58.40%,97
2007-2008,African-American,39.80%,66
2007-2008,Latino,0.60%,1
2007-2008,Asian,0.60%,1
2007-2008,Other,0.60%,1
2007-2008,POC,41.60%,69
2007-2008,Women,0.00%,0
2007-2008,Total,,166
2006-2007,White,59.20%,93
2006-2007,African-American,40.10%,63
2006-2007,Latino,0.60%,1
2006-2007,Asian,0.00%,0
2006-2007,Other,0.00%,0
2006-2007,POC,40.80%,64
2006-2007,Women,0.00%,0
2006-2007,Total,,157
2005-2006,White,61.50%,96
2005-2006,African-American,37.80%,59
2005-2006,Latino,0.60%,1
2005-2006,Asian,0.00%,0
2005-2006,Other,0.00%,0
2005-2006,POC,38.50%,60
2005-2006,Women,0.00%,0
2005-2006,Total,,156
2004-2005,White,66.20%,100
2004-2005,African-American,33.10%,50
2004-2005,Latino,0.00%,0
2004-2005,Asian,0.70%,1
2004-2005,Other,0.00%,0
2004-2005,POC,33.80%,51
2004-2005,Women,0.00%,0
2004-2005,Total,,151
2003-2004,White,71.00%,98
2003-2004,African-American,29.00%,40
2003-2004,Latino,0.00%,0
2003-2004,Asian,0.00%,0
2003-2004,Other,0.00%,0
2003-2004,POC,29.00%,40
2003-2004,Women,0.00%,0
2003-2004,Total,,138
2001-2002,White,66.90%,79
2001-2002,African-American,33.10%,39
2001-2002,Latino,0.00%,0
2001-2002,Asian,0.00%,0
2001-2002,Other,0.00%,0
2001-2002,POC,33.10%,39
2001-2002,Women,0.00%,0
2001-2002,Total,,118
1999-2000,White,64.30%,74
1999-2000,African-American,35.70%,41
1999-2000,Latino,0.00%,0
1999-2000,Asian,0.00%,0
1999-2000,Other,0.00%,0
1999-2000,POC,35.70%,41
1999-2000,Women,0.00%,0
1999-2000,Total,,115
1998-1999,White,67.00%,77
1998-1999,African-American,33.00%,38
1998-1999,Latino,0.00%,0
1998-1999,Asian,0.00%,0
1998-1999,Other,0.00%,0
1998-1999,POC,33.00%,38
1998-1999,Women,0.00%,0
1998-1999,Total,,115
1997-1998,White,66.10%,76
1997-1998,African-American,33.90%,39
