Season,Race,Percent,Count
2018-2019,White,89.30%,50
2018-2019,African-American,8.90%,5
2018-2019,Latino,1.80%,1
2018-2019,Asian,0.00%,0
2018-2019,Other,0.00%,0
2018-2019,POC,10.70%,6
2018-2019,Women,12.50%,7
2018-2019,Total,,56
2017-2018,White,90.20%,55
2017-2018,African-American,8.20%,5
2017-2018,Latino,1.60%,1
2017-2018,Asian,0.00%,0
2017-2018,Other,0.00%,0
2017-2018,POC,9.80%,6
2017-2018,Women,11.50%,7
2017-2018,Total,,61
2016-2017,White,93.10%,54
2016-2017,African-American,6.90%,4
2016-2017,Latino,0.00%,0
2016-2017,Asian,0.00%,0
2016-2017,Other,0.00%,0
2016-2017,POC,6.90%,4
2016-2017,Women,10.30%,6
2016-2017,Total,,58
2015-2016,White,94.70%,54
2015-2016,African-American,5.30%,3
2015-2016,Latino,0.00%,0
2015-2016,Asian,0.00%,0
2015-2016,Other,0.00%,0
2015-2016,POC,5.30%,3
2015-2016,Women,7.00%,4
2015-2016,Total,,57
2014-2015,White,91.20%,52
2014-2015,African-American,7.00%,4
2014-2015,Latino,0.00%,0
2014-2015,Asian,0.00%,0
2014-2015,Other,1.80%,1
2014-2015,POC,8.80%,5
2014-2015,Women,7.00%,4
2014-2015,Total,,57
2013-2014,White,87.00%,47
2013-2014,African-American,13.00%,7
2013-2014,Latino,0.00%,0
2013-2014,Asian,0.00%,0
2013-2014,Other,0.00%,0
2013-2014,POC,13.00%,7
2013-2014,Women,7.40%,4
2013-2014,Total,,54
2012-2013,White,92.70%,51
2012-2013,African-American,7.30%,4
2012-2013,Latino,0.00%,0
2012-2013,Asian,0.00%,0
2012-2013,Other,0.00%,0
2012-2013,POC,7.30%,4
2012-2013,Women,1.80%,1
2012-2013,Total,,55
2011-2012,White,87.50%,49
2011-2012,African-American,12.50%,7
2011-2012,Latino,0.00%,0
2011-2012,Asian,0.00%,0
2011-2012,Other,0.00%,0
2011-2012,POC,12.50%,7
2011-2012,Women,3.60%,2
2011-2012,Total,,56
2010-2011,White,88.90%,56
2010-2011,African-American,11.10%,7
2010-2011,Latino,0.00%,0
2010-2011,Asian,0.00%,0
2010-2011,Other,0.00%,0
2010-2011,POC,11.10%,7
2010-2011,Women,3.20%,2
2010-2011,Total,,63
2009-2010,White,88.20%,30
2009-2010,African-American,11.80%,4
2009-2010,Latino,0.00%,0
2009-2010,Asian,0.00%,0
2009-2010,Other,0.00%,0
2009-2010,POC,11.80%,4
2009-2010,Women,0.00%,0
2009-2010,Total,,34
2008-2009,White,85.30%,29
2008-2009,African-American,14.70%,5
2008-2009,Latino,0.00%,0
2008-2009,Asian,0.00%,0
2008-2009,Other,0.00%,0
2008-2009,POC,14.70%,5
2008-2009,Women,0.00%,0
2008-2009,Total,,34
2007-2008,White,76.70%,23
2007-2008,African-American,23.30%,7
2007-2008,Latino,0.00%,0
2007-2008,Asian,0.00%,0
2007-2008,Other,0.00%,0
2007-2008,POC,23.30%,7
2007-2008,Women,0.00%,0
2007-2008,Total,,30
2006-2007,White,87.90%,29
2006-2007,African-American,12.10%,4
2006-2007,Latino,0.00%,0
2006-2007,Asian,0.00%,0
2006-2007,Other,0.00%,0
2006-2007,POC,12.10%,4
2006-2007,Women,3.00%,1
2006-2007,Total,,33
2005-2006,White,87.50%,28
2005-2006,African-American,12.50%,4
2005-2006,Latino,0.00%,0
2005-2006,Asian,0.00%,0
2005-2006,Other,0.00%,0
2005-2006,POC,12.50%,4
2005-2006,Women,3.10%,1
2005-2006,Total,,32
2004-2005,White,90.30%,28
2004-2005,African-American,9.70%,3
2004-2005,Latino,0.00%,0
2004-2005,Asian,0.00%,0
2004-2005,Other,0.00%,0
2004-2005,POC,9.70%,3
2004-2005,Women,3.20%,1
2004-2005,Total,,31
2003-2004,White,90.00%,27
2003-2004,African-American,10.00%,3
2003-2004,Latino,0.00%,0
2003-2004,Asian,0.00%,0
2003-2004,Other,0.00%,0
2003-2004,POC,10.00%,3
2003-2004,Women,3.00%,1
2003-2004,Total,,30
2001-2002,White,96.00%,-1
2001-2002,African-American,4.00%,-1
2001-2002,Latino,0.00%,-1
2001-2002,Asian,0.00%,-1
2001-2002,Other,0.00%,-1
2001-2002,POC,4.00%,-1
2001-2002,Women,4.00%,-1
2001-2002,Total,,-1
2000-2001,White,90.00%,-1
2000-2001,African-American,10.00%,-1
2000-2001,Latino,0.00%,-1
2000-2001,Asian,0.00%,-1
2000-2001,Other,0.00%,-1
2000-2001,POC,10.00%,-1
2000-2001,Women,3.00%,-1
2000-2001,Total,,-1
1999-2000,White,90.00%,-1
1999-2000,African-American,10.00%,-1
1999-2000,Latino,0.00%,-1
1999-2000,Asian,0.00%,-1
1999-2000,Other,0.00%,-1
1999-2000,POC,10.00%,-1
1999-2000,Women,3.00%,-1
1999-2000,Total,,-1
1998-1999,White,90.00%,-1
1998-1999,African-American,10.00%,-1
1998-1999,Latino,0.00%,-1
1998-1999,Asian,0.00%,-1
1998-1999,Other,0.00%,-1
1998-1999,POC,10.00%,-1
1998-1999,Women,3.00%,-1
1998-1999,Total,,-1
