Season,Race,Percent,Count
2018-2019,White,66.70%,20
2018-2019,African-American,26.70%,8
2018-2019,Asian,3.30%,1
2018-2019,Latino,3.30%,1
2018-2019,Other,0.00%,0
2018-2019,Total People of Color,33.30%,10
2018-2019,Women,0.00%,0
2018-2019,Total,,30
2017-2018,White,70.00%,21
2017-2018,African-American,20.00%,6
2017-2018,Asian,0.00%,0
2017-2018,Latino,3.30%,1
2017-2018,Other,6.70%,2
2017-2018,Total People of Color,30.00%,9
2017-2018,Women,0.00%,0
2017-2018,Total,,30
2016-2017,White,70.00%,21
2016-2017,African-American,20.00%,6
2016-2017,Asian,3.30%,1
2016-2017,Latino,3.30%,1
2016-2017,Other,3.30%,1
2016-2017,Total People of Color,30.00%,9
2016-2017,Women,0.00%,0
2016-2017,Total,,30
2015-2016,White,70.00%,21
2015-2016,African-American,26.70%,8
2015-2016,Asian,3.30%,1
2015-2016,Latino,0.00%,0
2015-2016,Other,0.00%,0
2015-2016,Total People of Color,30.00%,9
2015-2016,Women,0.00%,0
2015-2016,Total,,30
2014-2015,White,66.70%,20
2014-2015,African-American,30.00%,9
2014-2015,Asian,3.30%,1
2014-2015,Latino,0.00%,0
2014-2015,Other,0.00%,0
2014-2015,Total People of Color,33.30%,10
2014-2015,Women,0.00%,0
2014-2015,Total,,30
2013-2014,White,56.70%,17
2013-2014,African-American,40.00%,12
2013-2014,Asian,3.30%,1
2013-2014,Latino,0.00%,0
2013-2014,Other,0.00%,0
2013-2014,Total People of Color,43.30%,13
2013-2014,Women,0.00%,0
2013-2014,Total,,30
2012-2013,White,53.30%,16
2012-2013,African-American,43.30%,13
2012-2013,Asian,3.30%,1
2012-2013,Latino,0.00%,0
2012-2013,Other,0.00%,0
2012-2013,Total People of Color,46.70%,14
2012-2013,Women,0.00%,0
2012-2013,Total,,30
2011-2012,White,46.70%,14
2011-2012,African-American,46.70%,14
2011-2012,Asian,3.30%,1
2011-2012,Latino,3.30%,1
2011-2012,Other,0.00%,0
2011-2012,Total People of Color,53.30%,16
2011-2012,Women,0.00%,0
2011-2012,Total,,30
2010-2011,White,66.70%,20
2010-2011,African-American,30.00%,9
2010-2011,Asian,3.30%,1
2010-2011,Latino,0.00%,0
2010-2011,Other,0.00%,0
2010-2011,Total People of Color,33.30%,10
2010-2011,Women,0.00%,0
2010-2011,Total,,30
2009-2010,White,70.00%,21
2009-2010,African-American,26.70%,8
2009-2010,Asian,3.30%,1
2009-2010,Latino,0.00%,0
2009-2010,Other,0.00%,0
2009-2010,Total People of Color,30.00%,9
2009-2010,Women,0.00%,0
2009-2010,Total,,30
2008-2009,White,60.00%,18
2008-2009,African-American,36.70%,11
2008-2009,Asian,3.30%,1
2008-2009,Latino,0.00%,0
2008-2009,Other,0.00%,0
2008-2009,Total People of Color,40.00%,12
2008-2009,Women,0.00%,0
2008-2009,Total,,30
2007-2008,White,60.00%,18
2007-2008,African-American,40.00%,12
2007-2008,Asian,0.00%,0
2007-2008,Latino,0.00%,0
2007-2008,Other,0.00%,0
2007-2008,Total People of Color,40.00%,12
2007-2008,Women,0.00%,0
2007-2008,Total,,30
2006-2007,White,60.00%,18
2006-2007,African-American,40.00%,12
2006-2007,Asian,0.00%,0
2006-2007,Latino,0.00%,0
2006-2007,Other,0.00%,0
2006-2007,Total People of Color,40.00%,12
2006-2007,Women,0.00%,0
2006-2007,Total,,30
2005-2006,White,63.30%,19
2005-2006,African-American,36.70%,11
2005-2006,Asian,0.00%,0
2005-2006,Latino,0.00%,0
2005-2006,Other,0.00%,0
2005-2006,Total People of Color,36.70%,11
2005-2006,Women,0.00%,0
2005-2006,Total,,30
2004-2005,White,60.00%,18
2004-2005,African-American,40.00%,12
2004-2005,Asian,0.00%,0
2004-2005,Latino,0.00%,0
2004-2005,Other,0.00%,0
2004-2005,Total People of Color,40.00%,12
2004-2005,Women,0.00%,0
2004-2005,Total,,30
2003-2004,White,63.30%,19
2003-2004,African-American,36.70%,11
2003-2004,Asian,0.00%,0
2003-2004,Latino,0.00%,0
2003-2004,Other,0.00%,0
2003-2004,Total People of Color,36.70%,11
2003-2004,Women,0.00%,0
2003-2004,Total,,30
2001-2002,White,51.70%,15
2001-2002,African-American,48.30%,14
2001-2002,Asian,0.00%,0
2001-2002,Latino,0.00%,0
2001-2002,Other,0.00%,0
2001-2002,Total People of Color,48.30%,14
2001-2002,Women,0.00%,0
2001-2002,Total,,29
2000-2001,White,65.50%,19
2000-2001,African-American,34.50%,10
2000-2001,Asian,0.00%,0
2000-2001,Latino,0.00%,0
2000-2001,Other,0.00%,0
2000-2001,Total People of Color,34.50%,10
2000-2001,Women,0.00%,0
2000-2001,Total,,29
1999-2000,White,79.30%,23
1999-2000,African-American,20.70%,6
1999-2000,Asian,0.00%,0
1999-2000,Latino,0.00%,0
1999-2000,Other,0.00%,0
1999-2000,Total People of Color,20.70%,6
1999-2000,Women,0.00%,0
1999-2000,Total,,29
1998-1999,White,86.20%,25
1998-1999,African-American,13.80%,4
1998-1999,Asian,0.00%,0
1998-1999,Latino,0.00%,0
1998-1999,Other,0.00%,0
1998-1999,Total People of Color,13.80%,4
1998-1999,Women,0.00%,0
1998-1999,Total,,29
1997-1998,White,82.80%,24
1997-1998,African-American,17.20%,5
1997-1998,Asian,0.00%,0
1997-1998,Latino,0.00%,0
1997-1998,Other,0.00%,0
1997-1998,Total People of Color,17.20%,5
1997-1998,Women,0.00%,0
1997-1998,Total,,29
1996-1997,White,75.90%,22
1996-1997,African-American,24.10%,7
1996-1997,Asian,0.00%,0
1996-1997,Latino,0.00%,0
1996-1997,Other,0.00%,0
1996-1997,Total People of Color,24.10%,7
1996-1997,Women,0.00%,0
1996-1997,Total,,29
1995-1996,White,79.30%,23
1995-1996,African-American,20.70%,6
1995-1996,Asian,0.00%,0
1995-1996,Latino,0.00%,0
1995-1996,Other,0.00%,0
1995-1996,Total People of Color,20.70%,6
1995-1996,Women,0.00%,0
1995-1996,Total,,29
1994-1995,White,81.50%,22
1994-1995,African-American,18.50%,5
1994-1995,Asian,0.00%,0
1994-1995,Latino,0.00%,0
1994-1995,Other,0.00%,0
1994-1995,Total People of Color,18.50%,5
1994-1995,Women,0.00%,0
1994-1995,Total,,27
1993-1994,White,81.50%,22
1993-1994,African-American,18.50%,5
1993-1994,Asian,0.00%,0
1993-1994,Latino,0.00%,0
1993-1994,Other,0.00%,0
1993-1994,Total People of Color,18.50%,5
1993-1994,Women,0.00%,0
1993-1994,Total,,27
1992-1993,White,74.10%,20
1992-1993,African-American,25.90%,7
1992-1993,Asian,0.00%,0
1992-1993,Latino,0.00%,0
1992-1993,Other,0.00%,0
1992-1993,Total People of Color,25.90%,7
1992-1993,Women,0.00%,0
1992-1993,Total,,27
