Coach,Team,Year(s),Record,,
Bill Russell,Boston,1966-69,190-101,,
Bill Russell,Seattle,1973-77,168-175,,
Bill Russell,Sacramento,1987-88,17-41,,
Al Attles,San Francisco/Golden State,1969-83,588-548,,
Lenny Wilkens,Seattle,1969-72,121-125,,
Lenny Wilkens,Portland,1974-76,75-89,,
Lenny Wilkens,Seattle,1977-85,394-309,,
Lenny Wilkens,Cleveland,1986-93,334-281,,
Lenny Wilkens,Atlanta,1993-00,327-262,,
Lenny Wilkens,Toronto,2000-02,121-142,,
Lenny Wilkens,New York,2003-05,40-45,,
Earl Lloyd,Detroit,1971-73,22-53,,
Ray Scott,Detroit,1972-76,151-140,,
K.C. Jones,Capital/Washington,1973-76,169-112,,
K.C. Jones,Boston,1983-88,373-139,,
K.C. Jones,Seattle,1990-92,61-62,,
Draff Young,Kansas City/Omaha,1973-74,0-4,,
David Fizdale,Memphis,2017-2018,50-51,,
David Fizdale,New York Knicks,2018-Present,17-65,,
Elgin Baylor,New Orleans,1974-75,0-1,,
Elgin Baylor,New Orleans,1976-79,86-134,,
Bob Hopkins,Seattle,1977-78,5-17,,
Willis Reed,New York,1977-79,51-51,,
Willis Reed,New Jersey,1987-89,33-77,,
Tom Sanders,Boston,1977-79,23-39,,
Paul Silas,San Diego,1980-83,78-168,,
Paul Silas,Charlotte/New Orleans,1998-2003,221-171,,
Paul Silas,Cleveland,2003-05,69-77,,
Paul Silas,Charlotte Bobcats,2010-12,32-88,,
Don Chaney,L.A. Clippers,1984-87,53-132,,
Don Chaney,Houston,1988-92,166-143,,
Don Chaney,Detroit,1993-95,48-116,,
Don Chaney,New York,2001-03,72-112,,
Bernie Bickerstaff,Seattle,1985-90,214-223,,
Bernie Bickerstaff,Denver,1994-96,59-71,,
Bernie Bickerstaff,Washington,1997-99,77-75,,
Bernie Bickerstaff,Charlotte Bobcats,2004-06,77-169,,
Bernie Bickerstaff,L.A. Lakers (Interim),2012-2013,4-1,,
Gene Littles,Cleveland,1985-86,4-11,,
Gene Littles,Charlotte,1989-91,37-87,,
Gene Littles,Denver,1994-95,3-13,,
Wes Unseld,Washington,1987-94,204-348,,
Mel Daniels,Indiana,1988-89,0-2,,
Stu Jackson,New York,1989-91,56-51,,
Stu Jackson,Vancouver,1996-97,6-33,,
Mack Calvin,L.A. Clippers,1991-92,1-1,,
Fred Carter,Philadelphia,1992-94,32-76,,
Gar Heard,Dallas,1992-93,9-44,,
Gar Heard,Washington,1999-00,14-30,,
Sidney Lowe,Minnesota,1993-94,33-102,,
Sidney Lowe,Vancouver/Memphis,2001-03,46-126,,
John Lucas,San Antonio,1992-94,100-57,,
John Lucas,Philadelphia,1994-96,42-122,,
John Lucas,Cleveland,2001-03,37-87,,
Quinn Buckner,Dallas,1993-94,13-69,,
Magic Johnson,L.A. Lakers,1993-94,5-11,,
Butch Beard,New Jersey,1994-96,60-104,,
Butch Beard,Miami,1994-95,15-21,,
Alvin Gentry,Detroit,1997-2000,75-75,,
Alvin Gentry,L.A. Clippers,2000-03,89-133,,
