Season,Race,Percent,Count
2018-2019,White,73.90%,17
2018-2019,African-American,21.70%,5
2018-2019,Latino,0.00%,0
2018-2019,Asian,0.00%,0
2018-2019,Other,4.30%,1
2018-2019,POC,26.10%,6
2018-2019,Women,0.00%,0
2018-2019,Total,,23
2017-2018,White,80.00%,20
2017-2018,African-American,12.00%,3
2017-2018,Latino,0.00%,0
2017-2018,Asian,4.00%,1
2017-2018,Other,4.00%,1
2017-2018,POC,20.00%,5
2017-2018,Women,0.00%,0
2017-2018,Total,,25
2016-2017,White,90.00%,27
2016-2017,African-American,6.70%,2
2016-2017,Latino,0.00%,0
2016-2017,Asian,3.30%,1
2016-2017,Other,0.00%,0
2016-2017,POC,10.00%,3
2016-2017,Women,0.00%,0
2016-2017,Total,,30
2015-2016,White,86.70%,26
2015-2016,African-American,10.00%,3
2015-2016,Latino,0.00%,0
2015-2016,Asian,3.30%,1
2015-2016,Other,0.00%,0
2015-2016,POC,13.30%,4
2015-2016,Women,0.00%,0
2015-2016,Total,,30
2014-2015,White,80.60%,25
2014-2015,African-American,16.10%,5
2014-2015,Latino,0.00%,0
2014-2015,Asian,3.20%,1
2014-2015,Other,0.00%,0
2014-2015,POC,19.40%,6
2014-2015,Women,0.00%,0
2014-2015,Total,,31
2013-2014,White,76.70%,23
2013-2014,African-American,20.00%,6
2013-2014,Latino,0.00%,0
2013-2014,Asian,3.30%,1
2013-2014,Other,0.00%,0
2013-2014,POC,23.30%,7
2013-2014,Women,0.00%,0
2013-2014,Total,,30
2012-2013,White,76.70%,23
2012-2013,African-American,20.00%,6
2012-2013,Latino,0.00%,0
2012-2013,Asian,3.30%,1
2012-2013,Other,0.00%,0
2012-2013,POC,23.30%,7
2012-2013,Women,0.00%,0
2012-2013,Total,,30
2011-2012,White,74.20%,23
2011-2012,African-American,22.60%,7
2011-2012,Latino,0.00%,0
2011-2012,Asian,3.20%,1
2011-2012,Other,0.00%,0
2011-2012,POC,25.80%,8
2011-2012,Women,0.00%,0
2011-2012,Total,,31
2010-2011,White,73.30%,22
2010-2011,African-American,23.30%,7
2010-2011,Latino,0.00%,0
2010-2011,Asian,3.30%,1
2010-2011,Other,0.00%,0
2010-2011,POC,26.70%,8
2010-2011,Women,0.00%,0
2010-2011,Total,,30
2009-2010,White,87.00%,20
2009-2010,African-American,13.00%,3
2009-2010,Latino,0.00%,0
2009-2010,Asian,0.00%,0
2009-2010,Other,0.00%,0
2009-2010,POC,13.00%,3
2009-2010,Women,0.00%,0
2009-2010,Total,,23
2008-2009,White,90.30%,28
2008-2009,African-American,9.70%,3
2008-2009,Latino,0.00%,0
2008-2009,Asian,0.00%,0
