Season,Race,Percent,Count
2018-2019,White,62.40%,669
2018-2019,African-American,15.90%,170
2018-2019,Latino,6.70%,72
2018-2019,Asian,10.40%,112
2018-2019,Other,4.60%,49
2018-2019,Women,39.70%,426
2018-2019,POC,37.60%,403
2018-2019,Total,,1072
2017-2018,White,63.80%,623
2017-2018,African-American,16.80%,165
2017-2018,Latino,5.90%,58
2017-2018,Asian,10.00%,98
2017-2018,Other,3.70%,36
2017-2018,Women,39.60%,388
2017-2018,POC,36.40%,357
2017-2018,Total,,980
2016-2017,White,64.90%,557
2016-2017,African-American,16.40%,141
2016-2017,Latino,6.60%,57
2016-2017,Asian,9.70%,83
2016-2017,Other,2.30%,20
2016-2017,Women,38.80%,333
2016-2017,POC,35.10%,301
2016-2017,Total,,858
2015-2016,White,64.70%,547
2015-2016,African-American,17.70%,150
2015-2016,Latino,7.30%,62
2015-2016,Asian,9.70%,82
2015-2016,Other,0.60%,5
2015-2016,Women,39.60%,335
2015-2016,POC,35.30%,299
2015-2016,Total,,846
2014-2015,White,64.60%,509
2014-2015,African-American,18.00%,142
2014-2015,Latino,7.20%,57
2014-2015,Asian,9.80%,77
2014-2015,Other,0.40%,3
2014-2015,Women,40.90%,322
2014-2015,POC,35.40%,279
2014-2015,Total,,788
2013-2014,White,64.90%,481
2013-2014,African-American,17.90%,133
2013-2014,Latino,7.00%,52
2013-2014,Asian,9.90%,73
2013-2014,Other,0.30%,2
2013-2014,Women,40.90%,303
2013-2014,POC,35.10%,260
2013-2014,Total,,741
2012-2013,White,64.30%,452
2012-2013,African-American,18.30%,129
2012-2013,Latino,6.30%,44
2012-2013,Asian,10.80%,76
2012-2013,Other,0.30%,2
2012-2013,Women,41.10%,289
2012-2013,POC,35.70%,251
2012-2013,Total,,703
2011-2012,White,66.00%,416
2011-2012,African-American,18.10%,114
2011-2012,Latino,6.50%,41
2011-2012,Asian,9.20%,58
2011-2012,Other,0.20%,1
2011-2012,Women,41.90%,264
2011-2012,POC,34.00%,214
2011-2012,Total,,630
2010-2011,White,66.00%,472
2010-2011,African-American,18.20%,130
2010-2011,Latino,7.30%,52
2010-2011,Asian,8.40%,60
2010-2011,Other,0.10%,1
2010-2011,Women,41.30%,295
2010-2011,POC,34.00%,243
2010-2011,Total,,715
2009-2010,White,63.60%,496
2009-2010,African-American,21.40%,167
2009-2010,Latino,7.20%,56
2009-2010,Asian,7.70%,60
2009-2010,Other,0.10%,1
2009-2010,Women,43.60%,340
2009-2010,POC,36.40%,284
2009-2010,Total,,780
2008-2009,White,64.90%,478
2008-2009,African-American,20.40%,150
2008-2009,Latino,7.20%,53
2008-2009,Asian,7.50%,55
2008-2009,Other,0.10%,1
2008-2009,Women,42.70%,315
2008-2009,POC,35.10%,259
2008-2009,Total,,737
2007-2008,White,65.80%,541
2007-2008,African-American,19.80%,163
2007-2008,Latino,7.20%,59
2007-2008,Asian,7.10%,58
2007-2008,Other,0.10%,1
2007-2008,Women,41.00%,337
2007-2008,POC,34.20%,281
2007-2008,Total,,822
2006-2007,White,66.50%,529
2006-2007,African-American,20.10%,160
2006-2007,Latino,6.70%,53
2006-2007,Asian,6.70%,53
2006-2007,Other,0.10%,1
2006-2007,Women,39.30%,313
2006-2007,POC,33.50%,267
2006-2007,Total,,796
2005-2006,White,67.00%,492
2005-2006,African-American,19.50%,143
2005-2006,Latino,7.10%,52
2005-2006,Asian,6.30%,46
2005-2006,Other,0.10%,1
2005-2006,Women,40.60%,298
2005-2006,POC,33.00%,242
2005-2006,Total,,734
2004-2005,White,68.30%,474
2004-2005,African-American,18.30%,127
2004-2005,Latino,6.90%,48
2004-2005,Asian,6.30%,44
2004-2005,Other,0.10%,1
2004-2005,Women,41.90%,291
2004-2005,POC,31.70%,220
2004-2005,Total,,694
2003-2004,White,70.70%,484
2003-2004,African-American,18.80%,129
2003-2004,Latino,5.70%,39
2003-2004,Asian,4.80%,33
2003-2004,Other,0.00%,0
2003-2004,Women,44.20%,303
2003-2004,POC,29.30%,201
2003-2004,Total,,685
2001-2002,White,85.00%,459
2001-2002,African-American,2.00%,11
2001-2002,Latino,7.20%,39
2001-2002,Asian,5.60%,30
2001-2002,Other,0.20%,1
2001-2002,Women,48.00%,259
2001-2002,POC,15.00%,81
2001-2002,Total,,540
1999-2000,White,75%,434
1999-2000,African-American,18%,105
1999-2000,Latino,4%,25
1999-2000,Asian,3%,15
1999-2000,Other,0%,1
1999-2000,Women,42%,246
1999-2000,POC,25%,146
1999-2000,Total,,580
1997-1998,White,78%,415
1997-1998,African-American,16%,86
1997-1998,Latino,4%,19
1997-1998,Asian,2%,13
1997-1998,Other,0%,0
1997-1998,Women,45%,239
1997-1998,POC,22%,118
1997-1998,Total,,533
1996-1997,White,78%,377
1996-1997,African-American,17%,83
1996-1997,Latino,3%,14
1996-1997,Asian,2%,12
1996-1997,Other,0%,0
1996-1997,Women,44%,214
1996-1997,POC,22%,109
1996-1997,Total,,486
1995-1996,White,79%,306
1995-1996,African-American,16%,61
1995-1996,Latino,2%,7
1995-1996,Asian,3%,10
1995-1996,Other,1%,3
1995-1996,Women,49%,188
1995-1996,POC,21%,81
1995-1996,Total,,387
1994-1995,White,80%,251
1994-1995,African-American,17%,52
1994-1995,Latino,2%,6
1994-1995,Asian,2%,5
1994-1995,Other,0%,1
1994-1995,Women,48%,151
1994-1995,POC,20%,64
1994-1995,Total,,315
