Season,Race,Percent,Count
2018-2019,White,61.90%,"1,860"
2018-2019,African-American,20.00%,601
2018-2019,Latino,10.10%,303
2018-2019,Asian,3.60%,107
2018-2019,Other,4.50%,136
2018-2019,POC,38.10%,"1,147"
2018-2019,Women,37.30%,"1,122"
2018-2019,Total,,3007
2017-2018,White,60.50%,1736
2017-2018,African-American,17.70%,508
2017-2018,Latino,7.60%,218
2017-2018,Asian,3.90%,113
2017-2018,Other,10.30%,296
2017-2018,POC,39.50%,1135
2017-2018,Women,37.20%,1068
2017-2018,Total,,2871
2016-2017,White,67.40%,2021
2016-2017,African-American,17.10%,511
2016-2017,Latino,9.50%,286
2016-2017,Asian,3.80%,114
2016-2017,Other,2.20%,65
2016-2017,POC,32.60%,976
2016-2017,Women,40.10%,1202
2016-2017,Total,,2997
2015-2016,White,67.90%,1760
2015-2016,African-American,18.40%,478
2015-2016,Latino,7.70%,200
2015-2016,Asian,4.00%,103
2015-2016,Other,2.00%,51
2015-2016,POC,32.10%,832
2015-2016,Women,36.10%,937
2015-2016,Total,,2592
2014-2015,White,73.60%,2425
2014-2015,African-American,15.70%,516
2014-2015,Latino,6.50%,214
2014-2015,Asian,3.10%,103
2014-2015,Other,1.20%,39
2014-2015,POC,26.40%,872
2014-2015,Women,36.10%,1189
2014-2015,Total,,3297
2013-2014,White,74.30%,1931
2013-2014,African-American,15.60%,404
2013-2014,Latino,6.10%,158
2013-2014,Asian,2.80%,72
2013-2014,Other,1.30%,33
2013-2014,POC,25.70%,667
2013-2014,Women,34.60%,898
2013-2014,Total,,2598
2012-2013,White,72.40%,1556
2012-2013,African-American,15.70%,338
2012-2013,Latino,8.40%,181
2012-2013,Asian,2.10%,45
2012-2013,Other,1.30%,29
2012-2013,POC,27.60%,593
2012-2013,Women,35.00%,752
2012-2013,Total,,2149
2011-2012,White,75.50%,858
2011-2012,African-American,13.80%,157
2011-2012,Latino,7.00%,80
2011-2012,Asian,2.70%,31
2011-2012,Other,1.00%,11
2011-2012,POC,24.50%,279
2011-2012,Women,39.30%,447
2011-2012,Total,,1137
2010-2011,White,72.50%,667
2010-2011,African-American,16.00%,147
2010-2011,Latino,8.40%,77
2010-2011,Asian,2.40%,22
2010-2011,Other,0.80%,7
2010-2011,POC,27.50%,253
2010-2011,Women,38.60%,355
2010-2011,Total,,920
2009-2010,White,73.60%,871
2009-2010,African-American,15.60%,184
2009-2010,Latino,7.50%,89
2009-2010,Asian,2.70%,32
2009-2010,Other,0.60%,7
2009-2010,POC,26.40%,312
2009-2010,Women,39.10%,462
2009-2010,Total,,1183
2008-2009,White,71.30%,761
2008-2009,African-American,16.20%,173
2008-2009,Latino,9.30%,99
2008-2009,Asian,2.70%,29
2008-2009,Other,0.50%,5
2008-2009,POC,28.70%,306
2008-2009,Women,40.00%,427
2008-2009,Total,,1067
2007-2008,White,72.30%,777
2007-2008,African-American,16.00%,172
2007-2008,Latino,8.80%,95
2007-2008,Asian,2.50%,27
2007-2008,Other,0.40%,4
2007-2008,POC,27.70%,298
2007-2008,Women,39.90%,429
2007-2008,Total,,1075
2006-2007,White,73.60%,818
2006-2007,African-American,14.90%,165
2006-2007,Latino,7.60%,84
2006-2007,Asian,3.30%,37
2006-2007,Other,0.60%,7
2006-2007,POC,26.40%,293
2006-2007,Women,41.40%,460
2006-2007,Total,,1111
2005-2006,White,73.80%,672
2005-2006,African-American,14.30%,130
2005-2006,Latino,8.30%,76
2005-2006,Asian,3.10%,28
2005-2006,Other,0.50%,5
2005-2006,POC,26.20%,239
2005-2006,Women,41.70%,380
2005-2006,Total,,911
2004-2005,White,77.40%,684
2004-2005,African-American,12.70%,112
2004-2005,Latino,6.80%,60
2004-2005,Asian,2.80%,25
2004-2005,Other,0.30%,3
2004-2005,POC,22.60%,200
2004-2005,Women,43.10%,381
2004-2005,Total,,884
2003-2004,White,76.40%,1192
2003-2004,African-American,14.20%,222
2003-2004,Latino,6.90%,108
2003-2004,Asian,1.90%,30
2003-2004,Other,0.60%,9
2003-2004,POC,23.60%,369
2003-2004,Women,38.60%,602
2003-2004,Total,,1561
2001-2002,White,79.00%,-1
2001-2002,African-American,13.00%,-1
2001-2002,Latino,6.00%,-1
2001-2002,Asian,2%,-1
2001-2002,Other,1%,-1
2001-2002,POC,22%,-1
2001-2002,Women,48.00%,-1
2001-2002,Total,,-1
1999-2000,White,77.00%,-1
1999-2000,African-American,15.00%,-1
1999-2000,Latino,6.00%,-1
1999-2000,Asian,2.00%,-1
1999-2000,Other,0.00%,-1
1999-2000,POC,23.00%,-1
1999-2000,Women,52.00%,-1
1999-2000,Total,,-1
1998-1999,White,83.00%,-1
1998-1999,African-American,13.00%,-1
1998-1999,Latino,3.00%,-1
1998-1999,Asian,1.00%,-1
1998-1999,Other,0.00%,-1
1998-1999,POC,17.00%,-1
1998-1999,Women,39.00%,-1
1998-1999,Total,,-1
1997-1998,White,83.00%,-1
1997-1998,African-American,13.00%,-1
1997-1998,Latino,3.00%,-1
1997-1998,Asian,1.00%,-1
1997-1998,Other,0.00%,-1
1997-1998,POC,17.00%,-1
1997-1998,Women,39.00%,-1
1997-1998,Total,,-1
1996-1997,White,83.00%,-1
1996-1997,African-American,14.00%,-1
1996-1997,Latino,0.00%,-1
1996-1997,Asian,0.00%,-1
1996-1997,Other,3.00%,-1
1996-1997,POC,17.00%,-1
1996-1997,Women,38.00%,-1
1996-1997,Total,,-1
1995-1996,White,84.00%,-1
1995-1996,African-American,13.00%,-1
1995-1996,Latino,0.00%,-1
1995-1996,Asian,0.00%,-1
1995-1996,Other,3%,-1
1995-1996,POC,16%,-1
1995-1996,Women,45.00%,-1
1995-1996,Total,,-1
1994-1995,White,87.00%,-1
1994-1995,African-American,10.00%,-1
1994-1995,Latino,1%,-1
1994-1995,Asian,1%,-1
1994-1995,Other,1.00%,-1
1994-1995,POC,13%,-1
1994-1995,Women,32.00%,-1
1994-1995,Total,,-1
1993-1994,White,84.00%,-1
1993-1994,African-American,13.00%,-1
1993-1994,Latino,2.00%,-1
1993-1994,Asian,1%,-1
1993-1994,Other,1%,-1
1993-1994,POC,17%,-1
1993-1994,Total,,-1
