Season,Race,Percent,Count
2018-2019,White,76.10%,447
2018-2019,African-American,14.80%,87
2018-2019,Latino,4.60%,27
2018-2019,Asian,2.60%,15
2018-2019,Other,1.90%,11
2018-2019,POC,23.90%,140
2018-2019,Women,25.40%,149
2018-2019,Total,,587
2017-2018,White,74.60%,435
2017-2018,African-American,15.60%,91
2017-2018,Latino,3.40%,20
2017-2018,Asian,2.20%,13
2017-2018,Other,4.10%,24
2017-2018,POC,25.40%,148
2017-2018,Women,23.50%,137
2017-2018,Total,,583
2016-2017,White,80.50%,356
2016-2017,African-American,13.30%,59
2016-2017,Latino,3.80%,17
2016-2017,Asian,1.80%,8
2016-2017,Other,0.50%,2
2016-2017,POC,19.50%,86
2016-2017,Women,24.20%,107
2016-2017,Total,442,
2015-2016,White,81.80%,354
2015-2016,African-American,12.70%,55
2015-2016,Latino,3.00%,13
2015-2016,Asian,2.10%,9
2015-2016,Other,0.50%,2
2015-2016,POC,18.20%,79
2015-2016,Women,21.50%,93
2015-2016,Total,,433
2014-2015,White,84.70%,343
2014-2015,African-American,10.90%,44
2014-2015,Latino,2.20%,9
2014-2015,Asian,1.20%,5
2014-2015,Other,1.00%,4
2014-2015,POC,15.30%,62
2014-2015,Women,20.20%,82
2014-2015,Total,,405
2013-2014,White,86.50%,302
2013-2014,African-American,10.30%,36
2013-2014,Latino,2.00%,7
2013-2014,Asian,0.60%,2
2013-2014,Other,0.60%,2
2013-2014,POC,13.50%,47
2013-2014,Women,16.60%,58
2013-2014,Total,,349
2012-2013,White,86.50%,302
2012-2013,African-American,10.00%,35
2012-2013,Latino,2.90%,10
2012-2013,Asian,0.60%,2
2012-2013,Other,0.00%,0
2012-2013,POC,13.50%,47
2012-2013,Women,18.30%,64
2012-2013,Total,,349
2011-2012,White,87.70%,285
2011-2012,African-American,9.80%,32
2011-2012,Latino,1.50%,5
2011-2012,Asian,0.90%,3
2011-2012,Other,0.00%,0
2011-2012,POC,12.30%,40
2011-2012,Women,17.80%,58
2011-2012,Total,,325
2010-2011,White,86.70%,268
2010-2011,African-American,10.40%,32
2010-2011,Latino,2.60%,8
2010-2011,Asian,1.00%,3
2010-2011,Other,0.00%,0
2010-2011,POC,13.90%,43
2010-2011,Women,15.50%,48
2010-2011,Total,,311
2009-2010,White,85.90%,249
2009-2010,African-American,11.00%,32
2009-2010,Latino,2.10%,6
2009-2010,Asian,1.00%,3
2009-2010,Other,0.00%,0
2009-2010,POC,14.10%,41
2009-2010,Women,17.90%,52
2009-2010,Total,,290
2008-2009,White,86.60%,251
2008-2009,African-American,10.70%,31
2008-2009,Latino,2.10%,6
2008-2009,Asian,0.70%,2
2008-2009,Other,0.00%,0
2008-2009,POC,13.40%,39
2008-2009,Women,17.60%,51
2008-2009,Total,,290
2007-2008,White,85.10%,258
2007-2008,African-American,10.60%,32
2007-2008,Latino,3.00%,9
2007-2008,Asian,1.30%,4
2007-2008,Other,0.00%,0
2007-2008,POC,14.90%,45
2007-2008,Women,18.20%,55
2007-2008,Total,,303
2006-2007,White,84.90%,248
2006-2007,African-American,11.00%,32
2006-2007,Latino,2.70%,8
2006-2007,Asian,1.40%,4
2006-2007,Other,0.00%,0
