White-assistant_coaches,89
White-ceo_pres,54
White-coaches,21
White-gm,27
White-owners,32
White-players,86
White-staff,2021
White-team_management,570
White-vp,356.0
White-league_office,557
AfricanAmerican-assistant_coaches,68
AfricanAmerican-ceo_pres,4
AfricanAmerican-coaches,6
AfricanAmerican-gm,2
AfricanAmerican-owners,1
AfricanAmerican-players,335
AfricanAmerican-staff,511
AfricanAmerican-team_management,91
AfricanAmerican-vp,59.0
AfricanAmerican-league_office,141
Latino-assistant_coaches,5
Latino-ceo_pres,0
Latino-coaches,1
Latino-gm,0
Latino-owners,0
Latino-players,22
Latino-staff,286
Latino-team_management,41
Latino-vp,17.0
Latino-league_office,57
Asian-assistant_coaches,1
Asian-ceo_pres,0
Asian-coaches,1
Asian-gm,1
Asian-owners,1
Asian-players,3
Asian-staff,114
Asian-team_management,30
Asian-vp,8.0
Asian-league_office,83
Other-assistant_coaches,0
Other-ceo_pres,0
Other-coaches,1
Other-gm,0
Other-owners,1
Other-players,4
Other-staff,65
Other-team_management,12
Other-vp,2.0
Other-league_office,20
International-players,113
