date,African,Asian,Latino,Other,White
2018,87,15,27,11,447
2017,91,13,20,24,435
2016,59,8,17,2,356
2015,55,9,13,2,354
2014,44,5,9,4,343
2013,36,2,7,2,302
2012,35,2,10,0,302
2011,32,3,5,0,285
2010,32,3,8,0,268
2009,32,3,6,0,249
2008,31,2,6,0,251
2007,32,4,9,0,258
2006,32,4,8,0,248
2005,24,4,8,0,252
2004,28,3,6,0,232
2003,19,0,7,0,192
2001,13,0,5,0,175
1999,18,0,1,0,164
1998,17,0,2,0,170
1997,19,0,2,0,138
1996,15,0,1,0,140
1995,12,0,0,0,132
1994,15,1,0,0,109
1993,14,1,0,0,97
