White-assistant_coaches,79
White-coaches,15
White-gm,25
White-staff,-1
White-team_management,-1
White-vp,175.0
White-league_office,459
AfricanAmerican-assistant_coaches,39
AfricanAmerican-coaches,14
AfricanAmerican-gm,5
AfricanAmerican-staff,-1
AfricanAmerican-team_management,-1
AfricanAmerican-vp,13.0
AfricanAmerican-league_office,11
Latino-assistant_coaches,0
Latino-coaches,0
Latino-gm,0
Latino-staff,-1
Latino-team_management,-1
Latino-vp,5.0
Latino-league_office,39
Asian-assistant_coaches,0
Asian-coaches,0
Asian-gm,0
Asian-staff,-1
Asian-team_management,-1
Asian-vp,0.0
Asian-league_office,30
Other-assistant_coaches,0
Other-coaches,0
Other-gm,0
Other-staff,-1
Other-team_management,-1
Other-vp,0.0
Other-league_office,1
